rowname,mean,sd,lower95,lower68,median,upper68,upper95,id,name
beta[1],-1.8654346855,0.01653809757604124,-1.89714025,-1.88135,-1.86581,-1.8494,-1.8325095000000002,1,(Intercept)
beta[10],0.7497588405,0.006625721884495625,0.73664185,0.74331984,0.749761,0.756321,0.762664325,10,day_nightN
beta[11],0.11847380397,0.00909542327266446,0.1009459,0.10952383999999998,0.118308,0.12746132,0.13687005,11,size_classlarge:day_nightN
beta[2],-0.21428173085,0.010842288744931585,-0.235406075,-0.22510716,-0.21437650000000003,-0.20354004,-0.19277930000000007,2,station128
beta[3],-0.42493330935,0.02167419706007964,-0.46841105000000005,-0.44616016,-0.4246815,-0.40370483999999995,-0.382775625,3,station135
beta[4],-0.24980603615,0.022199886612573567,-0.294574175,-0.27179364,-0.249571,-0.22781504,-0.20673445000000004,4,station23
beta[5],-0.6382429442,0.02253028359999815,-0.6830892,-0.6605077999999999,-0.637887,-0.61593784,-0.5949615000000003,5,station27
beta[6],-0.25829776635,0.02091804895559485,-0.30026162500000003,-0.27931248,-0.25791549999999996,-0.23769336,-0.21824095,6,station41
beta[7],-0.1444574903,0.011118680622261132,-0.16665407499999998,-0.15540995999999999,-0.1444005,-0.13346568,-0.12284317500000007,7,station44
beta[8],0.43417966275,0.018178195272927432,0.39747129999999997,0.4163922,0.434423,0.4518358,0.46971805000000005,8,stationDN
beta[9],-0.2902007748,0.015614740554892861,-0.320006175,-0.30559532,-0.2904185,-0.27500568,-0.25808075,9,size_classlarge
