month,year,station,basin,day_night,size_class,trap,count
6,1991,124,north,D,large,A,27
6,1991,124,north,D,large,B,6
6,1991,124,north,D,large,C,12
6,1991,124,north,D,large,D,21
6,1991,124,north,D,large,E,7
6,1991,124,north,D,small,A,119
6,1991,124,north,D,small,B,115
6,1991,124,north,D,small,C,123
6,1991,124,north,D,small,D,91
6,1991,124,north,D,small,E,45
6,1991,124,north,N,large,A,11
6,1991,124,north,N,large,B,26
6,1991,124,north,N,large,C,33
6,1991,124,north,N,large,D,34
6,1991,124,north,N,large,E,9
6,1991,124,north,N,small,A,146
6,1991,124,north,N,small,B,105
6,1991,124,north,N,small,C,227
6,1991,124,north,N,small,D,120
6,1991,124,north,N,small,E,54
6,1991,128,north,D,large,A,4
6,1991,128,north,D,large,B,6
6,1991,128,north,D,large,C,3
6,1991,128,north,D,large,D,11
6,1991,128,north,D,large,E,15
6,1991,128,north,D,small,A,7
6,1991,128,north,D,small,B,8
6,1991,128,north,D,small,C,10
6,1991,128,north,D,small,D,3
6,1991,128,north,D,small,E,7
6,1991,128,north,N,large,A,22
6,1991,128,north,N,large,B,49
6,1991,128,north,N,large,C,27
6,1991,128,north,N,large,D,41
6,1991,128,north,N,large,E,25
6,1991,128,north,N,small,A,52
6,1991,128,north,N,small,B,65
6,1991,128,north,N,small,C,82
6,1991,128,north,N,small,D,52
6,1991,128,north,N,small,E,43
6,1991,135,east,D,large,A,7
6,1991,135,east,D,large,B,6
6,1991,135,east,D,large,C,0
6,1991,135,east,D,large,D,0
6,1991,135,east,D,large,E,0
6,1991,135,east,D,small,A,5
6,1991,135,east,D,small,B,6
6,1991,135,east,D,small,C,1
6,1991,135,east,D,small,D,0
6,1991,135,east,D,small,E,0
6,1991,135,east,N,large,A,1
6,1991,135,east,N,large,B,3
6,1991,135,east,N,large,C,1
6,1991,135,east,N,large,D,2
6,1991,135,east,N,large,E,8
6,1991,135,east,N,small,A,4
6,1991,135,east,N,small,B,10
6,1991,135,east,N,small,C,3
6,1991,135,east,N,small,D,28
6,1991,135,east,N,small,E,9
6,1991,23,south,D,large,A,0
6,1991,23,south,D,large,B,1
6,1991,23,south,D,large,C,1
6,1991,23,south,D,large,D,0
6,1991,23,south,D,large,E,0
6,1991,23,south,D,small,A,1
6,1991,23,south,D,small,B,0
6,1991,23,south,D,small,C,1
6,1991,23,south,D,small,D,1
6,1991,23,south,D,small,E,0
6,1991,23,south,N,large,A,0
6,1991,23,south,N,large,B,1
6,1991,23,south,N,large,C,0
6,1991,23,south,N,large,D,0
6,1991,23,south,N,large,E,0
6,1991,23,south,N,small,A,2
6,1991,23,south,N,small,B,6
6,1991,23,south,N,small,C,8
6,1991,23,south,N,small,D,0
6,1991,23,south,N,small,E,0
6,1991,27,south,D,large,A,0
6,1991,27,south,D,large,B,0
6,1991,27,south,D,large,C,0
6,1991,27,south,D,large,D,0
6,1991,27,south,D,large,E,0
6,1991,27,south,D,small,A,1
6,1991,27,south,D,small,B,1
6,1991,27,south,D,small,C,0
6,1991,27,south,D,small,D,0
6,1991,27,south,D,small,E,0
6,1991,27,south,N,large,A,7
6,1991,27,south,N,large,B,1
6,1991,27,south,N,large,C,3
6,1991,27,south,N,large,D,0
6,1991,27,south,N,large,E,0
6,1991,27,south,N,small,A,83
6,1991,27,south,N,small,B,6
6,1991,27,south,N,small,C,40
6,1991,27,south,N,small,D,0
6,1991,27,south,N,small,E,0
6,1991,41,south,D,large,A,0
6,1991,41,south,D,large,B,1
6,1991,41,south,D,large,C,0
6,1991,41,south,D,large,D,0
6,1991,41,south,D,large,E,0
6,1991,41,south,D,small,A,1
6,1991,41,south,D,small,B,1
6,1991,41,south,D,small,C,0
6,1991,41,south,D,small,D,0
6,1991,41,south,D,small,E,0
6,1991,41,south,N,large,A,6
6,1991,41,south,N,large,B,0
6,1991,41,south,N,large,C,0
6,1991,41,south,N,large,D,0
6,1991,41,south,N,large,E,0
6,1991,41,south,N,small,A,30
6,1991,41,south,N,small,B,1
6,1991,41,south,N,small,C,14
6,1991,41,south,N,small,D,0
6,1991,41,south,N,small,E,0
6,1991,44,south,D,large,A,1
6,1991,44,south,D,large,B,0
6,1991,44,south,D,large,C,0
6,1991,44,south,D,large,D,0
6,1991,44,south,D,large,E,0
6,1991,44,south,D,small,A,0
6,1991,44,south,D,small,B,1
6,1991,44,south,D,small,C,0
6,1991,44,south,D,small,D,0
6,1991,44,south,D,small,E,0
6,1991,44,south,N,large,A,0
6,1991,44,south,N,large,B,1
6,1991,44,south,N,large,C,4
6,1991,44,south,N,large,D,0
6,1991,44,south,N,large,E,0
6,1991,44,south,N,small,A,6
6,1991,44,south,N,small,B,10
6,1991,44,south,N,small,C,46
6,1991,44,south,N,small,D,22
6,1991,44,south,N,small,E,11
6,1991,DN,north,D,large,A,3
6,1991,DN,north,D,large,B,28
6,1991,DN,north,D,large,C,36
6,1991,DN,north,D,large,D,8
6,1991,DN,north,D,large,E,26
6,1991,DN,north,D,small,A,26
6,1991,DN,north,D,small,B,94
6,1991,DN,north,D,small,C,44
6,1991,DN,north,D,small,D,40
6,1991,DN,north,D,small,E,50
6,1991,DN,north,N,large,A,30
6,1991,DN,north,N,large,B,44
6,1991,DN,north,N,large,C,23
6,1991,DN,north,N,large,D,41
6,1991,DN,north,N,large,E,37
6,1991,DN,north,N,small,A,94
6,1991,DN,north,N,small,B,110
6,1991,DN,north,N,small,C,91
6,1991,DN,north,N,small,D,60
6,1991,DN,north,N,small,E,107
8,1991,124,north,D,large,A,110
8,1991,124,north,D,large,B,131
8,1991,124,north,D,large,C,66
8,1991,124,north,D,large,D,43
8,1991,124,north,D,large,E,107
8,1991,124,north,D,small,A,144
8,1991,124,north,D,small,B,128
8,1991,124,north,D,small,C,194
8,1991,124,north,D,small,D,316
8,1991,124,north,D,small,E,174
