name,type,mi
s3,elas_asym,0.5853614313702601
r2,elas_asym,0.5770576011094515
s3,elas,0.5580797290062384
r2,elas,0.532731415962681
g1,elas_asym,0.4704919597270384
g1,elas,0.36743220399914034
s4,elas,0.33914251772950865
s4,elas_asym,0.2892830771413939
s2,elas,0.17588088058755072
r1,elas,0.16472001550788615
s2,elas_asym,0.14760953388988554
s1,elas,0.1321213521703049
s1,elas_asym,0.1311644698955873
r1,elas_asym,0.12990271211110657
d1,elas,0.0505135426529208
d1,elas_asym,0.041999121935403276
d2,elas,-0.1163732869025931
d2,elas_asym,-0.14827447166606228
