number,year,month,area_1,area_2,length,mass,sex,maturity,age,est_age
601,1986,6,1,1,36.7,594,2,2,4,4
602,1986,6,1,1,36.5,598,2,3,4,4
603,1986,6,1,1,36.3,622,1,2,4,4
604,1986,6,1,1,39.1,686,1,2,4,4
605,1986,6,1,1,41.1,782,1,2,5,5
606,1986,6,1,1,37.2,558,2,3,4,4
607,1986,6,1,1,38.4,622,1,2,4,4
608,1986,6,2,2,41.1,808,1,2,4,4
609,1986,6,2,2,37.2,581,2,2,4,4
610,1986,6,2,2,16.1,43,1,1,2,2
611,1986,6,2,2,15.8,37,1,1,2,2
612,1986,6,2,2,33,400,1,2,4,4
613,1986,6,2,2,21.5,106,2,3,3,3
614,1986,6,2,2,17.8,56,2,1,3,3
616,1986,6,2,2,32.3,286,1,2,4,4
617,1986,6,1,1,37.9,578,1,2,4,4
618,1986,6,1,1,21,74,1,1,3,3
619,1986,6,1,1,18.6,63,1,1,2,2
620,1986,6,2,2,40.6,896,1,0,4,4
621,1986,6,2,2,23.5,130,2,2,3,3
622,1986,6,2,2,20.6,84,NA,0,2,2
623,1986,6,2,2,19.5,74,2,1,2,2
624,1986,6,2,2,22,102,2,1,2,2
625,1986,6,2,2,27.8,242,1,1,3,3
626,1986,6,2,2,22.2,106,1,1,3,3
627,1986,6,2,2,19.7,70,1,1,2,2
628,1986,6,2,2,20.7,92,1,1,3,3
629,1986,6,2,2,23.7,140,1,1,3,3
630,1986,6,2,2,21.5,92,NA,0,3,3
631,1986,6,2,2,20.2,80,2,1,2,2
632,1986,6,4,4,34.7,478,2,0,4,4
633,1986,6,4,4,27.8,222,2,2,4,4
634,1986,6,4,4,30,300,2,2,4,4
636,1986,6,5,5,18.2,47,1,1,2,2
637,1986,6,5,5,18,39,1,1,2,2
638,1986,6,5,5,16.9,43,1,1,2,2
639,1986,6,5,5,22.8,126,2,2,3,3
640,1986,6,5,5,41.3,934,2,3,5,5
641,1986,6,5,5,37.5,634,1,2,4,4
642,1986,6,5,5,42.6,999,1,3,3,3
643,1986,6,5,5,19.9,70,1,1,2,2
644,1986,6,5,5,17.7,58,2,1,2,2
646,1986,6,5,5,36.8,620,2,2,5,5
647,1986,6,5,5,35.2,374,1,2,4,4
648,1986,6,3,3,40,798,2,0,4,4
649,1986,6,6,6,37.7,584,NA,0,4,4
651,1986,6,6,6,34.2,574,1,0,4,4
652,1986,6,6,6,33.7,530,1,0,4,4
653,1986,6,6,6,24.2,152,2,4,6,6
654,1986,6,6,6,23.3,164,2,2,3,3
655,1986,6,6,6,16.8,46,2,2,2,2
656,1986,6,6,6,17.5,51,1,1,2,2
657,1986,6,6,6,40,738,2,3,4,4
658,1986,6,6,6,36.9,668,1,9,4,4
659,1986,6,6,6,19.5,62,2,1,3,3
660,1986,6,6,6,20,72,2,1,3,3
664,1986,6,8,12,41.6,822,1,2,5,5
665,1986,6,8,12,38.5,564,1,2,4,4
666,1986,6,8,12,27.4,198,1,2,3,3
667,1986,6,8,12,28,256,1,2,4,4
668,1986,6,8,12,18.5,48,1,1,3,3
669,1986,6,8,12,20,92,2,2,3,3
670,1986,6,8,12,37.2,648,1,2,5,5
671,1986,6,8,12,37.5,664,2,2,4,4
672,1986,6,8,12,36.9,546,2,2,5,5
673,1986,6,8,12,35.6,482,1,2,6,6
674,1986,6,8,12,28.3,250,2,2,4,4
675,1986,6,8,12,29.5,258,2,2,4,4
676,1986,6,8,12,43.6,880,2,2,6,6
677,1986,6,8,12,34.2,416,2,2,5,5
678,1986,6,8,12,31,336,2,2,4,4
679,1986,6,8,12,37.8,664,1,2,5,5
680,1986,6,8,12,30.1,254,2,2,4,4
681,1986,6,8,12,35.2,454,1,2,5,5
682,1986,6,8,12,39.3,636,1,2,6,6
683,1986,6,8,12,33.4,426,1,2,5,5
684,1986,6,8,12,27.5,206,2,2,4,4
685,1986,6,8,12,27.1,218,2,1,4,4
686,1986,6,8,12,33,358,2,1,5,5
687,1986,6,8,12,22.4,98,1,1,3,3
688,1986,6,8,12,27.5,214,1,2,5,5
689,1986,6,8,12,34.9,448,NA,0,NA,4
690,1986,6,8,12,40,640,NA,0,NA,4
691,1986,6,7,11,35.2,540,2,2,4,4
692,1986,6,7,11,15.4,44,1,1,3,3
693,1986,6,7,11,20.6,84,1,1,3,3
694,1986,6,7,11,38.6,608,1,2,3,3
695,1986,6,7,11,25.4,166,1,2,NA,3
696,1986,6,7,11,32.1,324,2,2,4,4
697,1986,6,7,11,33.1,328,2,2,4,4
698,1986,6,7,11,31.9,362,1,2,5,5
699,1986,6,7,11,37.8,568,1,2,4,4
700,1986,6,7,11,36.1,442,2,2,5,5
701,1986,6,7,11,24.7,160,NA,0,4,4
702,1986,6,7,11,32.8,338,2,0,4,4
703,1986,6,7,11,40,718,1,0,5,5
704,1986,6,7,11,30.3,316,1,2,4,4
705,1986,6,7,11,27.8,186,2,2,4,4
706,1986,6,7,11,37.7,522,2,2,5,5
707,1986,6,7,11,25.5,162,2,1,NA,NA
708,1986,6,7,11,31.3,338,2,2,4,4
709,1986,6,7,11,35.2,490,2,2,4,4
710,1986,6,7,11,27,178,1,1,3,3
711,1986,6,7,11,34.8,478,1,0,4,4
712,1986,6,7,11,27.7,226,1,2,4,4
713,1986,6,7,11,39.4,730,1,3,5,5
714,1986,6,7,11,32,446,NA,0,4,4
715,1986,6,7,11,28,220,2,2,4,4
94,1986,9,4,4,18.2,61,1,1,1,1
95,1986,9,4,4,28.4,252,1,2,2,2
96,1986,9,4,4,26.4,194,2,1,2,2
97,1986,9,4,4,24,162,2,1,NA,NA
98,1986,9,4,4,19.3,66,1,1,2,2
99,1986,9,5,5,31.2,374,1,2,NA,NA
100,1986,9,5,5,36.2,690,1,2,3,3
101,1986,9,5,5,26.7,260,2,2,NA,NA
102,1986,9,5,5,27.3,248,1,2,NA,NA
103,1986,9,5,5,25.1,192,1,2,NA,NA
104,1986,9,5,5,29.9,320,1,2,2,2
105,1986,9,5,5,19.5,70,2,1,1,1
106,1986,9,6,6,37.6,636,2,3,4,4
107,1986,9,6,6,24.5,172,2,2,2,2
108,1986,9,6,6,21,102,1,1,1,1
110,1986,9,4,4,28.8,306,2,2,NA,NA
111,1986,9,4,4,26.2,214,2,2,2,2
112,1986,9,4,4,21.2,108,2,1,2,2
113,1986,9,4,4,21,98,1,1,1,1
114,1986,9,4,4,20.3,100,2,1,2,2
115,1986,9,4,4,16.6,42,2,1,1,1
116,1986,9,4,4,17,48,1,1,1,1
117,1986,9,4,4,23.5,120,1,2,2,2
118,1986,9,4,4,21.4,98,NA,0,2,2
119,1986,9,4,4,17.2,51,2,1,1,1
120,1986,9,4,4,23.6,154,1,2,2,2
121,1986,9,4,4,18.6,68,2,1,1,1
122,1986,9,4,4,16.1,38,NA,0,1,1
123,1986,9,4,4,19.7,78,2,1,1,1
124,1986,9,1,1,44.8,1000,1,4,4,4
125,1986,9,1,1,33.5,516,1,2,3,3
126,1986,9,1,1,21,100,2,1,2,2
130,1986,9,1,1,34.1,524,1,2,3,3
131,1986,9,1,1,31.8,420,2,2,3,3
132,1986,9,1,1,32.5,466,1,2,4,4
133,1986,9,1,1,31,382,1,2,3,3
134,1986,9,1,1,29.4,320,2,1,3,3
135,1986,9,1,1,33.2,394,2,2,3,3
136,1986,9,1,1,21.2,102,2,1,2,2
137,1986,9,1,1,17,41,2,1,1,1
138,1986,9,2,2,38,628,2,2,4,4
140,1986,9,2,2,29.1,300,2,2,3,3
141,1986,9,2,2,31.8,412,1,2,3,3
142,1986,9,2,2,23.2,128,1,1,2,2
143,1986,9,2,2,35.4,564,2,2,3,3
144,1986,9,2,2,24.5,170,1,1,2,2
145,1986,9,2,2,18.3,64,1,1,1,1
146,1986,9,2,2,19.7,84,2,1,1,1
147,1986,9,3,3,40.6,876,2,5,4,4
148,1986,9,3,3,41.8,970,1,5,4,4
149,1986,9,3,3,33,454,1,2,4,4
150,1986,9,3,3,33.2,458,1,2,3,3
151,1986,9,3,3,24,186,1,2,2,2
152,1986,9,3,3,15.6,37,1,1,1,1
153,1986,9,3,3,17,48,1,1,1,1
154,1986,9,3,3,18.3,59,2,1,1,1
155,1986,9,2,2,17.3,53,2,1,1,1
156,1986,9,2,2,28.8,316,2,2,3,3
157,1986,9,2,2,19,86,1,1,1,1
158,1986,9,2,2,21.1,80,1,1,3,3
159,1986,9,2,2,18.5,66,2,1,3,3
160,1986,9,2,2,23,130,2,1,2,2
28,1986,9,7,11,36.5,546,1,2,4,4
29,1986,9,7,11,33.5,0,1,1,4,4
30,1986,9,7,11,36.4,579,2,2,4,4
31,1986,9,7,11,34.2,530,2,3,4,4
32,1986,9,7,11,34,506,1,2,4,4
33,1986,9,7,11,34.7,438,2,2,4,4
34,1986,9,7,11,37,640,1,2,5,5
35,1986,9,7,11,32.5,400,2,3,4,4
36,1986,9,7,11,34.5,492,2,2,4,4
37,1986,9,7,11,32.7,432,1,4,5,5
38,1986,9,7,11,31,354,2,2,4,4
39,1986,9,7,11,29,302,2,1,4,4
40,1986,9,7,11,31.2,314,2,2,4,4
41,1986,9,7,11,32.5,438,1,2,4,4
42,1986,9,7,11,32.4,394,1,2,4,4
43,1986,9,7,11,34.2,484,2,2,5,5
44,1986,9,7,11,33.5,490,2,2,5,5
45,1986,9,7,11,32,366,2,2,4,4
46,1986,9,7,11,33.5,0,1,2,4,4
47,1986,9,8,12,25.8,180,2,2,3,3
48,1986,9,8,12,32,372,1,2,4,4
49,1986,9,8,12,35.5,532,1,2,4,4
50,1986,9,8,12,30,398,2,2,4,4
51,1986,9,8,12,27,224,2,2,4,4
52,1986,9,8,12,28.5,274,2,2,4,4
53,1986,9,8,12,32,340,2,3,4,4
54,1986,9,8,12,31.8,384,2,2,4,4
55,1986,9,8,12,32.3,446,2,2,4,4
56,1986,9,8,12,29.5,355,2,2,4,4
57,1986,9,8,12,33,484,1,2,4,4
58,1986,9,8,12,22.2,0,2,2,3,3
59,1986,9,8,12,27.2,0,NA,0,3,3
60,1986,9,8,12,33.5,462,1,2,3,3
61,1986,9,8,12,32,368,2,2,5,5
62,1986,9,8,12,23,120,NA,0,3,3
63,1986,9,8,12,25.8,198,1,2,4,4
64,1986,9,8,12,31.5,0,2,2,4,4
65,1986,9,8,12,32,0,2,3,4,4
65,1986,9,8,12,37.5,634,1,2,NA,NA
66,1986,9,8,12,28,314,2,2,3,3
67,1986,9,8,12,25,216,2,2,3,3
68,1986,9,8,12,22.5,112,NA,0,3,3
69,1986,9,8,12,24.8,182,1,2,3,3
70,1986,9,8,12,17.6,53,1,1,2,2
71,1986,9,8,12,21.1,108,NA,0,2,2
72,1986,9,8,12,28.2,282,NA,0,4,4
73,1986,9,8,12,31.6,446,1,2,4,4
74,1986,9,8,12,24.6,172,NA,0,4,4
75,1986,9,8,12,24.6,162,NA,0,3,3
76,1986,9,8,12,32.6,400,NA,0,4,4
77,1986,9,8,12,31.5,398,NA,0,4,4
78,1986,9,8,12,34.7,504,NA,0,5,5
79,1986,9,8,12,29.4,304,NA,0,NA,NA
80,1986,9,8,12,31,324,NA,0,4,4
81,1986,9,8,12,28.6,250,NA,0,4,4
82,1986,9,8,12,30.3,312,NA,0,4,4
83,1986,9,8,12,26,182,NA,0,4,4
84,1986,9,8,12,30.2,332,NA,0,4,4
85,1986,9,8,12,26.4,218,NA,0,3,3
86,1986,9,8,12,23.4,0,NA,0,4,4
87,1986,9,8,12,21.6,106,NA,0,4,4
88,1986,9,8,12,29,294,NA,0,NA,NA
89,1986,9,8,12,29.5,294,NA,0,4,4
90,1986,9,8,12,32.9,460,NA,0,4,4
91,1986,9,8,12,0,136,NA,0,NA,NA
1,1987,6,2,2,16.5,52,NA,0,2,2
2,1987,6,2,2,17.2,0,1,1,2,2
3,1987,6,2,2,19.4,78,2,1,2,2
4,1987,6,2,2,20.9,98,1,1,2,2
5,1987,6,2,2,17.5,62,1,1,2,2
6,1987,6,2,2,17.5,58,2,1,2,2
7,1987,6,2,2,18.5,62,1,1,2,2
8,1987,6,2,2,18.6,78,2,1,2,2
9,1987,6,2,2,17.2,56,1,1,2,2
10,1987,6,2,2,15.8,40,1,1,2,2
11,1987,6,2,2,17.2,54,1,1,2,2
12,1987,6,2,2,15.1,40,1,1,2,2
13,1987,6,2,2,18.9,76,2,1,3,3
14,1987,6,2,2,17.5,54,1,1,2,2
15,1987,6,2,2,14.5,32,1,1,2,2
16,1987,6,2,2,16.8,44,2,1,2,2
17,1987,6,2,2,14,34,1,1,2,2
18,1987,6,2,2,24.4,160,2,1,3,3
19,1987,6,2,2,14.7,34,2,1,2,2
20,1987,6,2,2,16.7,50,1,1,2,2
21,1987,6,4,4,16.5,56,2,1,2,2
22,1987,6,4,4,21,98,1,1,3,3
23,1987,6,4,4,16.8,46,2,1,2,2
24,1987,6,4,4,15,40,1,1,2,2
25,1987,6,4,4,17.3,58,1,1,2,2
26,1987,6,4,4,14.7,36,2,1,2,2
27,1987,6,4,4,23.3,155,2,3,3,3
28,1987,6,4,4,15.9,40,1,1,2,2
29,1987,6,4,4,17,58,1,1,2,2
30,1987,6,4,4,17.9,64,1,1,2,2
31,1987,6,4,4,14.7,34,1,1,2,2
32,1987,6,4,4,14.5,34,1,1,2,2
33,1987,6,4,4,15.2,34,1,1,2,2
34,1987,6,4,4,36.5,670,2,2,4,4
35,1987,6,1,1,17.3,50,1,1,2,2
36,1987,6,1,1,17.8,66,2,1,4,4
37,1987,6,1,1,15.9,42,2,1,2,2
38,1987,6,1,1,16.5,48,1,1,2,2
39,1987,6,1,1,23,135,1,1,3,3
40,1987,6,1,1,24.7,185,2,1,3,3
41,1987,6,1,1,17,50,1,1,2,2
42,1987,6,1,1,34.6,540,2,2,4,4
43,1987,6,1,1,39.7,385,1,1,4,4
44,1987,6,1,1,29,330,2,1,3,3
45,1987,6,1,1,34.1,470,2,2,4,4
46,1987,6,1,1,26.6,225,1,1,3,3
47,1987,6,1,1,27.5,255,2,1,3,3
46,1987,6,6,6,16.6,50,1,1,2,2
47,1987,6,6,6,18,56,1,1,2,2
48,1987,6,6,6,18.5,62,1,1,2,2
49,1987,6,6,6,15,40,1,1,2,2
50,1987,6,6,6,18.6,72,1,2,2,2
51,1987,6,6,6,22.2,116,2,1,3,3
51,1987,6,4,4,17,50,2,1,2,2
52,1987,6,4,4,16.6,50,1,1,2,2
53,1987,6,4,4,17.4,56,2,1,2,2
54,1987,6,4,4,16.6,50,1,1,2,2
55,1987,6,4,4,21.2,96,1,1,2,2
56,1987,6,4,4,16.6,52,1,1,2,2
57,1987,6,4,4,19.7,88,NA,0,NA,NA
58,1987,6,4,4,16.9,46,1,1,2,2
59,1987,6,4,4,20,78,2,1,2,2
60,1987,6,4,4,16,44,1,1,2,2
61,1987,6,4,4,21.3,122,2,1,3,3
62,1987,6,4,4,25.4,175,2,1,3,3
63,1987,6,4,4,44.5,1135,2,9,5,5
66,1987,6,4,4,40.1,805,2,3,4,4
67,1987,6,4,4,18.5,74,1,1,2,2
68,1987,6,4,4,16,40,1,1,2,2
69,1987,6,4,4,18,54,1,1,2,2
70,1987,6,4,4,16,0,2,1,2,2
72,1987,6,4,4,17,48,2,1,2,2
73,1987,6,4,4,23.7,140,2,1,3,3
74,1987,6,4,4,38,670,2,1,4,4
