year,stage,area,count
1986,first,1,1
1986,first,2,4
1986,first,3,3
1986,first,4,8
1986,first,5,1
1986,first,6,1
1986,second,1,2
1986,second,2,3
1986,second,3,1
1986,second,4,9
1986,second,5,1
1986,second,6,1
1986,second,8,2
1986,third,1,6
1986,third,2,6
1986,third,3,1
1986,third,5,1
1986,third,8,11
1986,adult,1,2
1986,adult,2,1
1986,adult,3,3
1986,adult,6,1
1986,adult,7,19
1986,adult,8,29
1987,first,1,6
1987,first,2,11
1987,first,3,9
1987,first,4,17
1987,first,6,15
1987,second,1,16
1987,second,2,47
1987,second,3,61
1987,second,4,85
1987,second,6,3
1987,second,7,18
1987,second,8,25
1987,third,1,2
1987,third,2,9
1987,third,3,3
1987,third,4,4
1987,third,6,5
1987,third,8,14
1987,adult,1,1
1987,adult,4,1
1987,adult,6,3
1987,adult,8,15
1988,first,3,1
1988,first,5,1
1988,second,1,7
1988,second,2,1
1988,second,3,3
1988,second,10,1
1988,third,1,12
1988,third,2,10
1988,third,3,5
1988,third,4,9
1988,third,5,5
1988,third,6,1
1988,third,7,8
1988,third,8,5
1988,third,10,2
1988,adult,1,4
1988,adult,2,6
1988,adult,3,1
1988,adult,4,5
1988,adult,5,3
1988,adult,6,3
1988,adult,7,4
1988,adult,8,18
1988,adult,10,1
1989,second,2,2
1989,second,3,2
1989,second,4,3
1989,second,5,2
1989,second,6,1
1989,second,7,10
1989,second,8,2
1989,third,2,3
1989,third,3,1
1989,third,4,5
1989,third,5,3
1989,third,6,2
1989,third,7,33
1989,third,8,6
1989,third,10,3
1989,adult,2,1
1989,adult,3,1
1989,adult,4,3
1989,adult,6,1
1989,adult,7,52
1989,adult,8,4
1989,adult,10,2
1990,first,1,2
1990,first,3,7
1990,first,4,1
1990,second,1,1
1990,second,2,8
1990,second,3,2
1990,second,4,3
1990,second,5,8
1990,second,7,7
1990,second,8,2
1990,third,1,1
1990,third,2,4
1990,third,5,2
1990,third,7,2
1990,third,8,3
1990,adult,2,3
1990,adult,3,1
1990,adult,4,2
1990,adult,5,3
1990,adult,8,2
1990,adult,10,2
1991,first,2,83
1991,first,3,22
1991,first,4,8
1991,first,5,2
1991,first,6,1
1991,first,7,15
1991,first,8,2
1991,second,1,2
1991,second,2,10
1991,second,3,6
1991,second,4,5
1991,second,7,11
1991,second,8,11
1991,third,1,2
1991,third,2,5
1991,third,4,2
1991,third,7,1
1991,third,8,1
1991,adult,2,5
1991,adult,6,1
1991,adult,8,1
1992,first,0,5
1992,first,2,3
1992,first,5,1
1992,first,6,1
1992,first,7,1
1992,first,8,1
1992,second,0,104
1992,second,1,14
1992,second,2,38
1992,second,3,12
1992,second,4,39
1992,second,5,18
1992,second,6,7
1992,second,7,34
1992,second,8,5
1992,third,0,20
1992,third,1,7
1992,third,2,9
1992,third,3,4
1992,third,4,2
1992,third,5,1
1992,third,6,1
1992,third,7,7
1992,third,8,10
1992,adult,0,2
1992,adult,2,1
1992,adult,8,2
1993,first,4,2
1993,second,2,2
1993,second,3,2
1993,second,4,24
1993,second,5,3
1993,second,7,11
1993,second,8,1
1993,second,10,1
1993,third,1,2
1993,third,2,2
1993,third,3,5
1993,third,4,38
1993,third,7,32
1993,third,8,23
1993,adult,1,1
1993,adult,2,3
1993,adult,3,2
1993,adult,4,6
1993,adult,7,8
1993,adult,8,3
1994,first,0,28
1994,first,1,3
1994,first,2,4
1994,first,3,3
1994,first,4,1
1994,first,6,6
1994,second,0,66
1994,second,1,40
1994,second,2,12
1994,second,3,36
1994,second,4,84
1994,second,5,36
1994,second,6,11
1994,second,7,16
1994,second,8,31
1994,third,0,21
1994,third,1,8
1994,third,2,37
1994,third,3,19
1994,third,4,41
1994,third,5,5
1994,third,6,5
1994,third,7,28
1994,third,8,42
1994,adult,0,4
1994,adult,1,1
1994,adult,2,3
1994,adult,3,2
1994,adult,4,1
1994,adult,6,2
1994,adult,8,2
1995,first,5,1
1995,second,0,54
1995,second,1,131
1995,second,2,34
1995,second,3,47
1995,second,4,56
1995,second,5,16
1995,second,6,27
1995,second,7,57
1995,second,8,85
1995,third,0,39
1995,third,1,12
1995,third,2,19
1995,third,3,15
1995,third,4,29
1995,third,5,18
1995,third,6,10
1995,third,7,20
1995,third,8,13
1995,adult,0,4
1995,adult,1,2
1995,adult,2,1
1995,adult,3,2
1995,adult,4,5
1995,adult,6,2
1995,adult,8,2
1996,first,0,9
1996,first,3,6
1996,first,4,1
1996,first,7,1
1996,second,0,129
1996,second,1,26
1996,second,3,21
1996,second,4,27
1996,second,5,9
1996,second,6,18
1996,second,7,63
1996,second,8,11
1996,third,0,70
1996,third,1,18
1996,third,2,5
1996,third,3,4
